Date,Closing Price (USD)
2014-05-04,438.29035
2014-05-05,432.78748
2014-05-06,418.61831
2014-05-07,428.42593
2014-05-08,442.57666
2014-05-09,439.04
2014-05-10,449.04333
2014-05-11,449.74166
2014-05-12,434.27
2014-05-13,437
2014-05-14,438.88
2014-05-15,445.045
2014-05-16,443.18
2014-05-17,445.60666
2014-05-18,445.15666
2014-05-19,444.73833
2014-05-20,455.65333
2014-05-21,489.86999
2014-05-22,490.18666
2014-05-23,522.31
2014-05-24,512.30833
2014-05-25,533.92999
2014-05-26,579.59333
2014-05-27,581.51
2014-05-28,572.44833
2014-05-29,562.4
2014-05-30,571.845
2014-05-31,612.12666
2014-06-01,638.16333
2014-06-02,634.98333
2014-06-03,660.24666
2014-06-04,627.79833
2014-06-05,642.89166
2014-06-06,652.52666
2014-06-07,648.60166
2014-06-08,652.59166
2014-06-09,652.11
2014-06-10,644.085
2014-06-11,642.00666
2014-06-12,632.55
2014-06-13,585.48333
2014-06-14,588.52333
2014-06-15,570.28833
2014-06-16,589.06666
2014-06-17,592.25666
2014-06-18,610.41333
2014-06-19,601.88666
2014-06-20,594.09333
2014-06-21,582.04499
2014-06-22,599.57
2014-06-23,592.405
2014-06-24,584.64166
2014-06-25,575.905
2014-06-26,571.76666
2014-06-27,582.43166
2014-06-28,597.66833
2014-06-29,598.73333
2014-06-30,597.51333
2014-07-01,647.12249
2014-07-02,637.85625
2014-07-03,642.65125
2014-07-04,643.95124
2014-07-05,628.41625
2014-07-06,631.03
2014-07-07,631.29875
2014-07-08,621.24249
2014-07-09,620.72
2014-07-10,621.3075
2014-07-11,616.83124
2014-07-12,634.35749
2014-07-13,627.69
2014-07-14,621.42499
2014-07-15,618.73875
2014-07-16,619.8075
2014-07-17,614.68875
2014-07-18,623.49749
2014-07-19,623.99625
2014-07-20,623.00625
2014-07-21,617.96124
2014-07-22,622.10749
2014-07-23,618.4475
2014-07-24,617.6875
2014-07-25,602.93125
2014-07-26,597.585
2014-07-27,592.96375
2014-07-28,580.11
2014-07-29,585.44875
2014-07-30,580.5175
2014-07-31,564.57
2014-08-01,583.39
2014-08-02,593.80625
2014-08-03,581.52
2014-08-04,585.80125
2014-08-05,582.33375
2014-08-06,582.52125
2014-08-07,583.62375
2014-08-08,595.80875
2014-08-09,585.39625
2014-08-10,586.05875
2014-08-11,588.7525
2014-08-12,566.31625
2014-08-13,565.55125
2014-08-14,534.54
2014-08-15,511.4725
2014-08-16,487.56625
2014-08-17,516.62625
2014-08-18,489.4675
2014-08-19,455.91625
2014-08-20,472.91
2014-08-21,519.015
2014-08-22,508.12875
2014-08-23,507.51
2014-08-24,501.63125
2014-08-25,503.32125
2014-08-26,504.62625
2014-08-27,513.39125
2014-08-28,514.62375
2014-08-29,506.025
2014-08-30,504.70625
2014-08-31,502.055
2014-09-01,474.5425
2014-09-02,477.98375
2014-09-03,476.88375
2014-09-04,475.65
2014-09-05,485.65125
2014-09-06,480.9075
2014-09-07,481.88375
2014-09-08,473.58625
2014-09-09,468.5775
2014-09-10,474.29125
2014-09-11,479.4175
2014-09-12,473.6725
2014-09-13,471.5325
2014-09-14,475.37875
2014-09-15,475.02125
2014-09-16,471.08375
2014-09-17,464.55375
2014-09-18,449.95875
2014-09-19,425.4475
2014-09-20,410.08
2014-09-21,405.79625
2014-09-22,399.0975
2014-09-23,399.5025
2014-09-24,427.8125
2014-09-25,416.12
2014-09-26,410.15
2014-09-27,403.4975
2014-09-28,398.84
2014-09-29,377.97875
2014-09-30,376.08375
2014-10-01,387.94
2014-10-02,381.7475
2014-10-03,372.0575
2014-10-04,360.7525
2014-10-05,335.98125
2014-10-06,308.07875
2014-10-07,337.23375
2014-10-08,326.2325
2014-10-09,351.34625
2014-10-10,368.59625
2014-10-11,359.2025
2014-10-12,356.99875
2014-10-13,371.15625
2014-10-14,392.7825
2014-10-15,396.34625
2014-10-16,392.56625
2014-10-17,376.26875
2014-10-18,378.675
2014-10-19,390.95875
2014-10-20,381.72375
2014-10-21,380.0575
2014-10-22,382.93875
2014-10-23,376.59
2014-10-24,351.7825
2014-10-25,353.6325
2014-10-26,345.1925
2014-10-27,350.9775
2014-10-28,349.79625
2014-10-29,348.9025
2014-10-30,335.53625
2014-10-31,343.55875
2014-11-01,338.0105
2014-11-02,325.22633
2014-11-03,331.60083
2014-11-04,324.71833
2014-11-05,332.45666
2014-11-06,336.585
2014-11-07,346.775
2014-11-08,344.81166
2014-11-09,343.065
2014-11-10,358.50166
2014-11-11,368.07666
2014-11-12,376.99666
2014-11-13,442.10666
2014-11-14,389.00333
2014-11-15,394.92666
2014-11-16,377.08
2014-11-17,400.47166
2014-11-18,384.93
2014-11-19,375.83333
2014-11-20,376.16
2014-11-21,348.565
2014-11-22,352.42
2014-11-23,356.8
2014-11-24,367.83
2014-11-25,381.20666
2014-11-26,375.498
2014-11-27,372.819
2014-11-28,368.983
2014-11-29,375.44
2014-11-30,376.851
2014-12-01,376.13218
2014-12-02,377.862
2014-12-03,382.452
2014-12-04,376.382
2014-12-05,368.3618
2014-12-06,373.414
2014-12-07,373.744
2014-12-08,373.155
2014-12-09,357.884
2014-12-10,348.898
