iter	RMSE
0	0.7862559455
1	0.772006588
2	0.7582856996
3	0.7446882109
4	0.7309291451
5	0.7176821959
6	0.707033182
7	0.6946822661
8	0.6829135587
9	0.6723938085
10	0.6616019217
11	0.6513889949
12	0.6420122208
13	0.6321948843
14	0.6230278185
15	0.613505853
16	0.6047969202
17	0.5958098624
18	0.5878209746
19	0.578611114
20	0.5707935909
21	0.5633939141
22	0.5561835597
23	0.5482051791
24	0.5404809603
25	0.5331952489
26	0.5267194657
27	0.5210744423
28	0.514377009
29	0.5084541309
30	0.5023866108
31	0.4969466531
32	0.4911158704
33	0.4850367282
34	0.4795827222
35	0.4744978309
36	0.4686846759
37	0.4636683964
38	0.4583930151
39	0.4539326424
40	0.4493634915
41	0.4452075963
42	0.4410966154
43	0.4368770441
44	0.4328601766
45	0.4289317943
46	0.4242951623
47	0.4206444014
48	0.4172858716
49	0.4131941151
50	0.409829793
51	0.4062829282
52	0.4033934915
53	0.4003947336
54	0.3976373997
55	0.3947999731
56	0.3918788755
57	0.3891159958
58	0.3875195996
59	0.3853588533
60	0.3831800912
61	0.3812938686
62	0.3788374345
63	0.3764290692
64	0.3743001379
65	0.3718488211
66	0.3700209186
67	0.367262952
68	0.3651013075
69	0.3628362407
70	0.3607027938
71	0.3584126256
72	0.3566681531
73	0.3544218015
74	0.3524304327
75	0.3514335851
76	0.3498758038
77	0.3484882235
78	0.3462198843
79	0.3441977743
80	0.3422311402
81	0.3402263253
82	0.3390097585
83	0.3376606393
84	0.3358595336
85	0.3342362834
86	0.3327770667
87	0.3313591808
88	0.3299304858
89	0.3285870233
90	0.3270990114
91	0.3253639377
92	0.3237373457
93	0.3219781045
94	0.320770555
95	0.3196300865
96	0.3184792853
97	0.3173490899
98	0.3158201075
99	0.3144191369
100	0.313074481
101	0.3115428444
102	0.310437226
103	0.3090619203
104	0.308067492
105	0.3067856279
106	0.3055481931
107	0.3043599332
108	0.303559634
109	0.3021757284
110	0.3012594382
111	0.3000944299
112	0.2988341747
113	0.2982070495
114	0.2973925554
115	0.2966275125
116	0.2957355608
117	0.2949530036
118	0.2940246692
119	0.2932504228
120	0.292447317
121	0.2915261443
122	0.2910324748
123	0.28961551
124	0.288685744
125	0.287846814
126	0.2869395923
127	0.2862645038
128	0.2855639685
129	0.28457892
130	0.2833443205
131	0.2822886635
132	0.2813976169
133	0.2808746256
134	0.2802902259
135	0.2791205173
136	0.2779290826
137	0.2772346879
138	0.2765106976
139	0.2759576154
140	0.275356322
141	0.2743687511
142	0.2739275223
143	0.2732372436
144	0.2725778929
145	0.2720211959
146	0.2712471379
147	0.2708227332
148	0.2697592159
149	0.2687359817
150	0.2680343234
151	0.267070121
152	0.2665459209
153	0.2657608343
154	0.2652300677
155	0.2648438781
156	0.2645467425
157	0.26408495
158	0.2632813338
159	0.2627590198
160	0.2619839452
161	0.2610763922
162	0.2604545729
163	0.2600786722
164	0.2596567558
165	0.2592241332
166	0.2589319143
167	0.2586273287
168	0.2584504059
169	0.2577420944
170	0.257356524
171	0.2568436706
172	0.2559408953
173	0.2551301768
174	0.2545959372
175	0.2540498551
176	0.2536946827
177	0.2534265901
178	0.253046563
179	0.2526807296
180	0.2521146224
181	0.2512700361
182	0.2509086637
183	0.2505905992
184	0.2502262569
185	0.2498487438
186	0.2492303541
187	0.2483945592
188	0.2476406427
189	0.2473732961
190	0.247065151
191	0.2463921557
192	0.2459216235
193	0.2455483898
194	0.2451272665
195	0.2447280536
196	0.2443593028
197	0.2437144805
198	0.2433308876
199	0.2425497396
200	0.242162459
201	0.2413924416
202	0.2406649963
203	0.2400808911
204	0.2392949188
205	0.238566379
206	0.238023753
207	0.2373893861
208	0.2371170291
209	0.2364721603
210	0.2358656511
211	0.2354608452
212	0.2351366333
213	0.2349261472
214	0.2346763232
215	0.2340720456
216	0.2337285885
217	0.2334457872
218	0.2331640799
219	0.2327587708
220	0.2323934655
221	0.2321103288
222	0.23166551
223	0.2309346921
224	0.2306704073
225	0.2303259604
226	0.2300639794
227	0.2297351335
228	0.2293704297
229	0.2291049195
230	0.2283288939
231	0.2281132974
232	0.2278571615
233	0.2276465656
234	0.2273114573
235	0.2270174477
236	0.2267056704
237	0.226289551
238	0.2260658982
239	0.2258023396
240	0.2255165637
241	0.2252256528
242	0.2249805534
243	0.2243821576
244	0.2235433599
245	0.2232703964
246	0.2229964235
247	0.2226472372
248	0.2220002299
249	0.2217611778
250	0.2215542355
251	0.2207356601
252	0.2205821447
253	0.2203326466
254	0.2196372232
255	0.21946885
256	0.219293368
257	0.2185329144
258	0.217644004
259	0.2174598226
260	0.2166785962
261	0.2164436484
262	0.2157107134
263	0.2155092837
264	0.2147295544
265	0.214014803
266	0.2133999349
267	0.2128227557
268	0.2126060247
269	0.2123918347
270	0.2121996378
271	0.2120090274
272	0.2118049896
273	0.2111257505
274	0.2105608574
275	0.209943441
276	0.2096545578
277	0.2094765353
278	0.2093001398
279	0.2087662114
280	0.2085824784
281	0.2084226571
282	0.2079221062
283	0.2074030989
284	0.2072067501
285	0.2069844317
286	0.2064769649
287	0.2062053843
288	0.2055371279
289	0.2053732254
290	0.2052067719
291	0.2050166676
292	0.2048062915
293	0.2043627374
294	0.2038495669
295	0.203379039
296	0.2029323402
297	0.2027833482
298	0.2026170172
299	0.2024034517
300	0.2022677719
301	0.2017269089
302	0.2012702917
303	0.2008250772
304	0.2006719874
305	0.2002641727
306	0.2001324568
307	0.1999982897
308	0.1993986585
309	0.1988864295
310	0.1984627023
311	0.1979908718
312	0.1975805594
313	0.1974317066
314	0.1970356542
315	0.1968730645
316	0.1963983926
317	0.1959978963
318	0.1955156575
319	0.1953951883
320	0.1952777458
321	0.1949070151
322	0.1946443385
323	0.1942972097
324	0.1938075869
325	0.1936992926
326	0.1933616867
327	0.1932304345
328	0.1931392428
329	0.1928784732
330	0.1925996058
331	0.1922008599
332	0.1920536512
333	0.1917261234
334	0.1913434206
335	0.1909741524
336	0.1906460186
337	0.1901279532
338	0.1900143811
339	0.1894618247
340	0.1893277077
341	0.1890502826
342	0.1888178569
343	0.1885613706
344	0.1880485733
345	0.1878135314
346	0.187456504
347	0.1869657477
348	0.1868693437
349	0.1867860737
350	0.1865098581
351	0.1863933324
352	0.1857406485
353	0.1855870106
354	0.1853731752
355	0.1852960258
356	0.1850578077
357	0.1849564297
358	0.1848269149
359	0.1843590438
360	0.1841141066
361	0.1839899475
362	0.1836954619
363	0.1833760335
364	0.1832897246
365	0.1831858968
366	0.183098046
367	0.1826995284
368	0.1824463254
369	0.182025617
370	0.1819052924
371	0.1817955266
372	0.1815909033
373	0.1811787109
374	0.1810872595
375	0.1807662625
376	0.1807048633
377	0.1803072621
378	0.1802008983
379	0.1799567295
380	0.1795341678
381	0.1791074623
382	0.1786993454
383	0.1783578879
384	0.1781897952
385	0.1778914181
386	0.1777861312
387	0.1777130583
388	0.1773117899
389	0.1771830331
390	0.1767931953
391	0.1766830094
392	0.1764562287
393	0.1760652403
394	0.1759792255
395	0.1759102814
396	0.1758498661
397	0.175656566
398	0.1754300043
399	0.1751970131
400	0.1748452726
401	0.1744319304
402	0.1741831148
403	0.1737862634
404	0.1735524457
405	0.1731722118
406	0.1727909345
407	0.172659152
408	0.1722562045
409	0.1719392747
410	0.1717280331
411	0.1716766609
412	0.1713742307
413	0.1710538334
414	0.1709760404
415	0.1707479393
416	0.1706054506
417	0.170384585
418	0.1700208681
419	0.1697294837
420	0.1696828618
421	0.1692709495
422	0.1690354383
423	0.1688151572
424	0.1686677171
425	0.1683704046
426	0.1681740723
427	0.1679374741
428	0.16789905
429	0.1677956412
430	0.1677620058
431	0.1675557014
432	0.1673581672
433	0.1671429288
434	0.1670922857
435	0.1668891832
436	0.1666380243
437	0.1662892389
438	0.1662142321
439	0.1661525833
440	0.1660784973
441	0.1656986
442	0.1655033264
